Модель,"Объём памяти, Гб","Диагональ экрана, дюйм",Цвет,Число ядер,"RAM, Гб",SIM,Разрешение экрана,"Основная камера, Мп","Емкость аккумулятора, мА*ч","Цена, руб.","Цена (без скидки), руб."
SE 2022,128,4.7,белый,6,,1,1334x750,12,2018,47 499,
11,64,6.1,белый,6x(2.65 ГГц),4,1,1792x828,12+12,3110,48 749,52 999
11,64,6.1,зеленый,6x(2.65 ГГц),4,1,1792x828,12+12,3110,48 749,52 999
11,64,6.1,черный,6x(2.65 ГГц),4,1,1792x828,12+12,3110,48 749,52 999
11,64,6.1,черный,6x(2.65 ГГц),4,1,1792x828,12+12,3110,48 749,52 999
11,64,6.1,черный,6x(2.65 ГГц),4,1,1792x828,12+12,3110,48 749,52 999
11,128,6.1,белый,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,белый,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,белый,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,желтый,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,желтый,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,красный,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,красный,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,фиолетовый,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,черный,6x(2.65 ГГц),4,2,1792x828,12+12,3110,51 999,56 499
11,128,6.1,черный,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,черный,6x(2.65 ГГц),4,2,1792x828,12+12,3110,51 999,56 499
11,128,6.1,черный,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,черный,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,черный,6x(2.65 ГГц),4,1,1792x828,12+12,3110,51 999,56 499
11,128,6.1,черный,6x(2.65 ГГц),4,2,1792x828,12+12,3110,51 999,56 499
12 Mini,64,5.4,зеленый,6x(2.99 ГГц),4,1,2340x1080,12+12,2227,52 899,57 499
12,64,6.1,белый,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,54 999,59 799
12,64,6.1,белый,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,54 999,59 799
12,64,6.1,синий,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,54 999,59 799
12,64,6.1,синий,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,54 999,59 799
12,64,6.1,черный,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,54 999,59 799
"11 Pro ""Как новый""",64,5.8,зеленый,6x(2.65 ГГц),4,1,2436x1125,12+12+12,3190,56 849,61 799
"11 Pro ""Как новый""",64,5.8,золотистый,6x(2.65 ГГц),4,1,2436x1125,12+12+12,3190,56 849,61 799
"11 Pro ""Как новый""",64,5.8,серебристый,6x(2.65 ГГц),4,1,2436x1125,12+12+12,3190,56 849,61 799
"11 Pro ""Как новый""",64,5.8,серый,6x(2.65 ГГц),4,1,2436x1125,12+12+12,3190,56 849,61 799
12,64,6.1,красный,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,59 799,
13 mini,128,5.4,белый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,белый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,красный,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,розовый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,розовый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,синий,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,синий,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,черный,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
13 mini,128,5.4,черный,"6x(1.8 ГГц, 3.2 ГГц)",,1,2340x1080,12+12,,64 199,69 799
12,128,6.1,белый,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,66 199,71 999
12,128,6.1,зеленый,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,66 199,71 999
12,128,6.1,зеленый,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,66 199,71 999
12,128,6.1,красный,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,66 199,71 999
12,128,6.1,синий,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,66 199,71 999
12,128,6.1,синий,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,66 199,71 999
12,128,6.1,синий,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,66 199,71 999
12,128,6.1,черный,6x(2.99 ГГц),4,1,2532x1170,12+12,2815,66 199,71 999
13,128,6.1,белый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,72 699,78 999
13,128,6.1,белый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,72 699,78 999
13,128,6.1,белый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,72 699,78 999
13,128,6.1,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,72 699,78 999
13,128,6.1,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,72 699,78 999
13,128,6.1,розовый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,72 699,78 999
13,128,6.1,синий,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,72 699,78 999
